cislo	povodni_slozka	pocet_fotek
001	1	3
002	6	13
003	10	3
004	11	20
005	13	3
006	18	3
007	19	3
008	20	3
009	21	3
010	22	3
011	40	3
012	44	3
013	45	6
014	50	7
015	52	18
016	54	7
017	77DOKONČIŤ!!	6
018	B1__014_01_PREFOTIŤ	6
019	B1__24LV_PREFOTIŤ	3
020	B1__47-50_PREFOTIŤ	10
021	B1__128YL_PREFOTIŤ	7
022	B1__970B_PREFOTIŤ	3
023	B1__1004CR	3
024	B1__2602_PREFOTIŤ	10
025	B1__4123	7
026	B1__5970B_PREFOTIŤ	3
027	B1__MAGNOLIA ZVAZOK	3
028	B1__MAGNOLIA_PREFOTIŤ	3
029	B2__260PI	10
030	B2__439W_PREFOTIŤ	3
031	B2__2010	3
032	B2__2010R-CR_PREFOTIŤ	7
033	B2__3891_PREFOTIŤ	3
034	B2__9222_PREFOTIŤ	8
035	B2__9406_PREFOTIŤ	13
036	B2__29459YL	3
037	B2__P107	7
038	B2__SUN-641_PREFOTIŤ	3
039	B2__WEI1022_PREFOTIŤ	13
040	B3__160HD_PREFOTIŤ	10
041	B3__879BL-BR_PREFOTIŤ	9
042	B3__900PU_PREFOTIŤ	3
043	B3__906-05_PREFOTIŤ	7
044	B3__9681+9157_PREFOTIŤ	6
045	B3__20599C_PREFOTIŤ	3
046	B3__34505_01	3
047	B3__BUK013	3
048	B3__BUK1013	7
049	B3__BUK1017	3
050	B3__CAN2906	3
051	B3__FMN1009_PREFOTIŤ	10
052	B3__QD052	3
053	B4__9202	7
054	B4__17934	16
055	B4__A5_04573	7
056	B4__BFG413	5
057	B4__CAN20031_01	3
058	B4__CAN319941	13
059	B4__FMN1009	10
060	B4__SUN-498-012	6
061	B4__SUN561	20
062	B4__XH010	10
063	C1__GLADIOLA ZVAZOK	3
064	C15__205BL(chyba biela)	9
065	C15__423_479-480	7
066	C15__0514WH	3
067	C16__3104	6
068	C16__50813	10
069	D1__	3
070	D1__(za regalom)	3
071	D1__388	4
072	D1__5364	7
073	D1__8933	3
074	D1__BL048	3
075	D1__BL056	3
076	D1__LIST_RUSKUS 50cm	3
077	D1__RUSKUS_LIU388	3
078	D1__TIK128	3
079	D1__TIK189	3
080	D2__007	6
081	D2__24285DK	7
082	D2__ANA1009	3
083	D2__CAN5161	7
084	D2__EUKALIPTUS 61CM 002	3
085	D2__EUKALIPTUS LIU007	3
086	D2__KLM1102	3
087	D3__017	3
088	D3__3437	7
089	D3__25805H	3
090	D3__25984	3
091	D3__CAN272	3
092	D3__JUN095	4
093	D3__KLM1199	10
094	D3__LI00374	3
095	D3__LS062	5
096	D3__TIK030	3
097	D3__TIK031	3
098	D4__446BL	3
099	D4__693	3
100	D4__5907DKPI	7
101	D4__24346M	10
102	D4__CAN118	13
103	D4__Gipsówka 31cm	9
104	D4__GYP1001	23
105	D4__KS056	10
106	D4__KYTICA PIVONKA	4
107	D4__SUN-455	23
108	D5__TUJA014	3
109	D17__J913	3
110	E1__KYTICA PIVONIA	26
111	E1__LIL04	16
112	E2__001-53	3
113	E2__BU03857	3
114	E2__PIV. KYT. EXCL. 45cm	3
115	E2__PIVONIA DLHA	6
116	E2__PIVONIA EXCL.45cm	3
117	E2__PIVONKA 47cm	3
118	E3__KYT. RUŽA 36h	12
119	E3__PIV. KYT	22
120	E15__KS058	9
121	E15__PIK022	3
122	E16__PIK002	7
123	E16__PIK006	9
124	EUKALIPTUS 47CM (VIAC FARIEB TREBA DOFOTIT)	3
125	F1__106	7
126	F1__657C	4
127	F1__663B	3
128	F1__806LV	9
129	F1__8015	7
130	F1__AK09	13
131	F1__GLO3150	14
132	F1__JH098	3
133	F1__KS020	12
134	F1__KYT. RUŽ	3
135	F1__MIX	9
136	F1__RUZA BEAUTY 38cm	9
137	F2__20013W	3
138	F2__AL-8480	7
139	F2__NARCIS	10
140	F2__S21C_05	3
141	F2__WEI1002	3
142	F2_955	10
143	G1__REN2011	3
144	G3__hortensia 61cm	10
145	LISTY STARE	4
146	-II	0
