section	folder	orig	status	distance	images
normal	001 1 NA_ESHOPU	1	NA_ESHOPU	0	3
normal	002 6 NA_ESHOPU	6	NA_ESHOPU	2	13
normal	003 10 NA_ESHOPU	10	NA_ESHOPU	5	3
normal	004 11 NA_ESHOPU	11	NA_ESHOPU	1	20
normal	005 13 NA_ESHOPU	13	NA_ESHOPU	6	3
normal	006 18 NA_ESHOPU	18	NA_ESHOPU	4	3
normal	007 19 NA_ESHOPU	19	NA_ESHOPU	1	3
normal	008 20 NA_ESHOPU	20	NA_ESHOPU	3	3
normal	009 21 NA_ESHOPU	21	NA_ESHOPU	5	3
normal	010 22 NA_ESHOPU	22	NA_ESHOPU	2	3
normal	011 40 NA_ESHOPU	40	NA_ESHOPU	5	3
normal	012 44 NA_ESHOPU	44	NA_ESHOPU	4	3
normal	013 45 NA_ESHOPU	45	NA_ESHOPU	3	6
normal	014 50 NA_ESHOPU	50	NA_ESHOPU	1	7
normal	015 52 NA_ESHOPU	52	NA_ESHOPU	1	18
normal	016 54 NA_ESHOPU	54	NA_ESHOPU	3	7
normal	017 77DOKONČIŤ!! NA_ESHOPU	77DOKONČIŤ!!	NA_ESHOPU	3	6
normal	018 B1__1004CR NA_ESHOPU	B1__1004CR	NA_ESHOPU	6	3
normal	019 B1__4123 NA_ESHOPU	B1__4123	NA_ESHOPU	3	7
normal	020 B1__MAGNOLIA ZVAZOK NA_ESHOPU	B1__MAGNOLIA ZVAZOK	NA_ESHOPU	4	3
normal	021 B2__260PI NA_ESHOPU	B2__260PI	NA_ESHOPU	3	10
normal	022 B2__2010 NA_ESHOPU	B2__2010	NA_ESHOPU	4	3
normal	023 B2__29459YL NA_ESHOPU	B2__29459YL	NA_ESHOPU	5	3
normal	024 B2__P107 NA_ESHOPU	B2__P107	NA_ESHOPU	3	7
normal	025 B3__34505_01 NA_ESHOPU	B3__34505_01	NA_ESHOPU	8	3
normal	026 B3__BUK013 NA_ESHOPU	B3__BUK013	NA_ESHOPU	5	3
normal	027 B3__BUK1013 NA_ESHOPU	B3__BUK1013	NA_ESHOPU	4	7
normal	028 B3__BUK1017 NA_ESHOPU	B3__BUK1017	NA_ESHOPU	2	3
normal	029 B3__CAN2906 NA_ESHOPU	B3__CAN2906	NA_ESHOPU	5	3
normal	030 B3__QD052 NA_ESHOPU	B3__QD052	NA_ESHOPU	7	3
normal	031 B4__9202 NA_ESHOPU	B4__9202	NA_ESHOPU	6	7
normal	032 B4__17934 NA_ESHOPU	B4__17934	NA_ESHOPU	2	16
normal	033 B4__A5_04573 NA_ESHOPU	B4__A5_04573	NA_ESHOPU	5	7
normal	034 B4__BFG413 NA_ESHOPU	B4__BFG413	NA_ESHOPU	4	5
normal	035 B4__CAN20031_01 NA_ESHOPU	B4__CAN20031_01	NA_ESHOPU	5	3
normal	036 B4__CAN319941 NA_ESHOPU	B4__CAN319941	NA_ESHOPU	3	13
normal	037 B4__FMN1009 NA_ESHOPU	B4__FMN1009	NA_ESHOPU	7	10
normal	038 B4__SUN-498-012 NA_ESHOPU	B4__SUN-498-012	NA_ESHOPU	4	6
normal	039 B4__SUN561 NA_ESHOPU	B4__SUN561	NA_ESHOPU	3	20
normal	040 B4__XH010 NA_ESHOPU	B4__XH010	NA_ESHOPU	2	10
normal	041 C1__GLADIOLA ZVAZOK NA_ESHOPU	C1__GLADIOLA ZVAZOK	NA_ESHOPU	5	3
normal	042 C15__205BL(chyba biela) NA_ESHOPU	C15__205BL(chyba biela)	NA_ESHOPU	4	9
normal	043 C15__423_479-480 NA_ESHOPU	C15__423_479-480	NA_ESHOPU	5	7
normal	044 C15__0514WH NA_ESHOPU	C15__0514WH	NA_ESHOPU	8	3
normal	045 C16__3104 NA_ESHOPU	C16__3104	NA_ESHOPU	5	6
normal	046 C16__50813 NA_ESHOPU	C16__50813	NA_ESHOPU	2	10
normal	047 D1__ NA_ESHOPU	D1__	NA_ESHOPU	5	3
normal	048 D1__(za regalom) NA_ESHOPU	D1__(za regalom)	NA_ESHOPU	8	3
normal	049 D1__388 NA_ESHOPU	D1__388	NA_ESHOPU	5	4
normal	050 D1__5364 NA_ESHOPU	D1__5364	NA_ESHOPU	1	7
normal	051 D1__8933 NA_ESHOPU	D1__8933	NA_ESHOPU	4	3
normal	052 D1__BL048 NA_ESHOPU	D1__BL048	NA_ESHOPU	6	3
normal	053 D1__BL056 NA_ESHOPU	D1__BL056	NA_ESHOPU	2	3
normal	054 D1__LIST_RUSKUS 50cm NA_ESHOPU	D1__LIST_RUSKUS 50cm	NA_ESHOPU	4	3
normal	055 D1__RUSKUS_LIU388 NA_ESHOPU	D1__RUSKUS_LIU388	NA_ESHOPU	3	3
normal	056 D1__TIK128 NA_ESHOPU	D1__TIK128	NA_ESHOPU	4	3
normal	057 D1__TIK189 NA_ESHOPU	D1__TIK189	NA_ESHOPU	4	3
normal	058 D2__007 NA_ESHOPU	D2__007	NA_ESHOPU	4	6
normal	059 D2__24285DK NA_ESHOPU	D2__24285DK	NA_ESHOPU	3	7
normal	060 D2__ANA1009 NA_ESHOPU	D2__ANA1009	NA_ESHOPU	4	3
normal	061 D2__CAN5161 NA_ESHOPU	D2__CAN5161	NA_ESHOPU	4	7
normal	062 D2__EUKALIPTUS 61CM 002 NA_ESHOPU	D2__EUKALIPTUS 61CM 002	NA_ESHOPU	2	3
normal	063 D2__EUKALIPTUS LIU007 NA_ESHOPU	D2__EUKALIPTUS LIU007	NA_ESHOPU	5	3
normal	064 D2__KLM1102 NA_ESHOPU	D2__KLM1102	NA_ESHOPU	6	3
normal	065 D3__017 NA_ESHOPU	D3__017	NA_ESHOPU	7	3
normal	066 D3__3437 NA_ESHOPU	D3__3437	NA_ESHOPU	1	7
normal	067 D3__25805H NA_ESHOPU	D3__25805H	NA_ESHOPU	6	3
normal	068 D3__25984 NA_ESHOPU	D3__25984	NA_ESHOPU	2	3
normal	069 D3__CAN272 NA_ESHOPU	D3__CAN272	NA_ESHOPU	5	3
normal	070 D3__JUN095 NA_ESHOPU	D3__JUN095	NA_ESHOPU	7	4
normal	071 D3__KLM1199 NA_ESHOPU	D3__KLM1199	NA_ESHOPU	4	10
normal	072 D3__LI00374 NA_ESHOPU	D3__LI00374	NA_ESHOPU	4	3
normal	073 D3__LS062 NA_ESHOPU	D3__LS062	NA_ESHOPU	1	5
normal	074 D3__TIK030 NA_ESHOPU	D3__TIK030	NA_ESHOPU	4	3
normal	075 D3__TIK031 NA_ESHOPU	D3__TIK031	NA_ESHOPU	3	3
normal	076 D4__446BL NA_ESHOPU	D4__446BL	NA_ESHOPU	3	3
normal	077 D4__693 NA_ESHOPU	D4__693	NA_ESHOPU	5	3
normal	078 D4__5907DKPI NA_ESHOPU	D4__5907DKPI	NA_ESHOPU	3	7
normal	079 D4__24346M NA_ESHOPU	D4__24346M	NA_ESHOPU	6	10
normal	080 D4__CAN118 NA_ESHOPU	D4__CAN118	NA_ESHOPU	2	13
normal	081 D4__Gipsówka 31cm NA_ESHOPU	D4__Gipsówka 31cm	NA_ESHOPU	3	9
normal	082 D4__GYP1001 NA_ESHOPU	D4__GYP1001	NA_ESHOPU	5	23
normal	083 D4__KS056 NA_ESHOPU	D4__KS056	NA_ESHOPU	1	10
normal	084 D4__KYTICA PIVONKA NA_ESHOPU	D4__KYTICA PIVONKA	NA_ESHOPU	7	4
normal	085 D4__SUN-455 NA_ESHOPU	D4__SUN-455	NA_ESHOPU	2	23
normal	086 D5__TUJA014 NA_ESHOPU	D5__TUJA014	NA_ESHOPU	1	3
normal	087 D17__J913 NA_ESHOPU	D17__J913	NA_ESHOPU	6	3
normal	088 E1__KYTICA PIVONIA NA_ESHOPU	E1__KYTICA PIVONIA	NA_ESHOPU	2	26
normal	089 E1__LIL04 NA_ESHOPU	E1__LIL04	NA_ESHOPU	8	16
normal	090 E2__001-53 NA_ESHOPU	E2__001-53	NA_ESHOPU	2	3
normal	091 E2__BU03857 NA_ESHOPU	E2__BU03857	NA_ESHOPU	9	3
normal	092 E2__PIV. KYT. EXCL. 45cm NA_ESHOPU	E2__PIV. KYT. EXCL. 45cm	NA_ESHOPU	4	3
normal	093 E2__PIVONIA DLHA NA_ESHOPU	E2__PIVONIA DLHA	NA_ESHOPU	0	6
normal	094 E2__PIVONIA EXCL.45cm NA_ESHOPU	E2__PIVONIA EXCL.45cm	NA_ESHOPU	4	3
normal	095 E2__PIVONKA 47cm NA_ESHOPU	E2__PIVONKA 47cm	NA_ESHOPU	1	3
normal	096 E3__KYT. RUŽA 36h NA_ESHOPU	E3__KYT. RUŽA 36h	NA_ESHOPU	2	12
normal	097 E3__PIV. KYT NA_ESHOPU	E3__PIV. KYT	NA_ESHOPU	2	22
normal	098 E15__KS058 NA_ESHOPU	E15__KS058	NA_ESHOPU	3	9
normal	099 E15__PIK022 NA_ESHOPU	E15__PIK022	NA_ESHOPU	2	3
normal	100 E16__PIK002 NA_ESHOPU	E16__PIK002	NA_ESHOPU	4	7
normal	101 E16__PIK006 NA_ESHOPU	E16__PIK006	NA_ESHOPU	3	9
normal	102 EUKALIPTUS 47CM (VIAC FARIEB TREBA DOFOTIT) NA_ESHOPU	EUKALIPTUS 47CM (VIAC FARIEB TREBA DOFOTIT)	NA_ESHOPU	1	3
normal	103 F1__106 NA_ESHOPU	F1__106	NA_ESHOPU	4	7
normal	104 F1__657C NA_ESHOPU	F1__657C	NA_ESHOPU	4	4
normal	105 F1__663B NA_ESHOPU	F1__663B	NA_ESHOPU	3	3
normal	106 F1__806LV NA_ESHOPU	F1__806LV	NA_ESHOPU	5	9
normal	107 F1__8015 NA_ESHOPU	F1__8015	NA_ESHOPU	0	7
normal	108 F1__AK09 NA_ESHOPU	F1__AK09	NA_ESHOPU	2	13
normal	109 F1__GLO3150 NA_ESHOPU	F1__GLO3150	NA_ESHOPU	3	14
normal	110 F1__JH098 NA_ESHOPU	F1__JH098	NA_ESHOPU	1	3
normal	111 F1__KS020 NA_ESHOPU	F1__KS020	NA_ESHOPU	1	12
normal	112 F1__KYT. RUŽ NA_ESHOPU	F1__KYT. RUŽ	NA_ESHOPU	3	3
