folder	orig	status	distance	images
001 1 NA_ESHOPU	1	NA_ESHOPU	2	22
002 2 NA_ESHOPU	2	NA_ESHOPU	2	16
003 3 NA_ESHOPU	3	NA_ESHOPU	4	10
004 4 NA_ESHOPU	4	NA_ESHOPU	4	16
005 5 NA_ESHOPU	5	NA_ESHOPU	1	16
006 6 NA_ESHOPU	6	NA_ESHOPU	4	12
007 7 NA_ESHOPU	7	NA_ESHOPU	6	3
008 8 NA_ESHOPU	8	NA_ESHOPU	5	3
009 9 NA_ESHOPU	9	NA_ESHOPU	3	3
010 10 NA_ESHOPU	10	NA_ESHOPU	4	7
011 11 NA_ESHOPU	11	NA_ESHOPU	3	10
012 12 NA_ESHOPU	12	NA_ESHOPU	3	14
013 13 NA_ESHOPU	13	NA_ESHOPU	2	22
014 14 NA_ESHOPU	14	NA_ESHOPU	3	13
015 15 NA_ESHOPU	15	NA_ESHOPU	3	3
016 16 NA_ESHOPU	16	NA_ESHOPU	5	3
017 17 NA_ESHOPU	17	NA_ESHOPU	4	3
018 18 NA_ESHOPU	18	NA_ESHOPU	3	7
019 19 NA_ESHOPU	19	NA_ESHOPU	5	10
020 20 NA_ESHOPU	20	NA_ESHOPU	2	3
021 21 NA_ESHOPU	21	NA_ESHOPU	1	3
022 22 NA_ESHOPU	22	NA_ESHOPU	3	10
023 23 NA_ESHOPU	23	NA_ESHOPU	1	12
024 24 NA_ESHOPU	24	NA_ESHOPU	4	17
025 25 NA_ESHOPU	25	NA_ESHOPU	4	11
026 26 NA_ESHOPU	26	NA_ESHOPU	1	16
027 27 NA_ESHOPU	27	NA_ESHOPU	3	10
028 28 NA_ESHOPU	28	NA_ESHOPU	3	10
029 29 NA_ESHOPU	29	NA_ESHOPU	5	10
030 30 NA_ESHOPU	30	NA_ESHOPU	1	16
031 31 NA_ESHOPU	31	NA_ESHOPU	2	7
032 32 NA_ESHOPU	32	NA_ESHOPU	2	19
033 33 NA_ESHOPU	33	NA_ESHOPU	4	7
