folder	base	status	distance	local	db	images
001 NA_ESHOPU	001	NA_ESHOPU	0	001\kvety-86.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\103e9e2d-bef1-418f-b898-03e3a5ede294.jpg	3
002 NA_ESHOPU	002	NA_ESHOPU	5	002\kvety-64.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\a55d07da-eda2-496a-9cf5-7347a9a8294b.webp	3
003 NA_ESHOPU	003	NA_ESHOPU	6	003\kvety-60.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2850d85b-9357-491c-be08-f72a44bf84db.webp	3
004 NA_ESHOPU	004	NA_ESHOPU	4	004\kvety-37.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\6ad6dbd4-9d23-4232-ad77-98789f4185a3.webp	3
005 NA_ESHOPU	005	NA_ESHOPU	1	005\kvety-40.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\313dc7d8-c96b-44ed-9fa4-efe3e727eb88.webp	3
006 NA_ESHOPU	006	NA_ESHOPU	3	006\kvety-49.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\3315078f-c916-4851-9b37-e9389efa480c.webp	3
007 NA_ESHOPU	007	NA_ESHOPU	5	007\kvety-50.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\27f9e771-cfc1-43b3-aa08-a937b7163dab.webp	3
008 NA_ESHOPU	008	NA_ESHOPU	2	008\kvety-51.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\0ac0c0bc-ffe4-4b94-adbf-ab7828706589.webp	3
009 NA_ESHOPU	009	NA_ESHOPU	5	009\kvety-67.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\02552647-57b4-47e0-a573-57ad3faa19e2.webp	3
010 NA_ESHOPU	010	NA_ESHOPU	4	010\kvety-54.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\5a0fcdb6-6ede-4b03-bf57-fc213dcbe2c9.webp	3
011 NA_ESHOPU	011	NA_ESHOPU	3	011\kvety-64.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\b6860923-8dda-4314-bcff-0187db505787.webp	3
012 NA_ESHOPU	012	NA_ESHOPU	3	012\kvety-227.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\1bd272c5-226c-41c5-a7c6-69babe4ae34c.webp	3
013 NA_ESHOPU	013	NA_ESHOPU	6	013\kvety-41.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2a6f10ee-d1be-4c92-87da-a2093ad4b0e7.webp	3
014 NA_ESHOPU	014	NA_ESHOPU	4	014\KVETY-28.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\1dd40b7a-a528-4b43-8900-b625060e61e4.webp	3
015 NA_ESHOPU	015	NA_ESHOPU	4	015\kvety-7.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\12193404-f44a-414d-bb86-f863966e2cc9.webp	3
016 NA_ESHOPU	016	NA_ESHOPU	5	016\kvety-15.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\6c7cfeb4-e46f-4949-8260-2c44a99084e6.webp	3
017 NA_ESHOPU	017	NA_ESHOPU	8	017\kvety-46.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\7f54da6d-caf3-4e15-9e2d-455f996834a3.webp	3
018 NA_ESHOPU	018	NA_ESHOPU	5	018\KVETY-206.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2516660e-cf02-4ed9-9936-2a061fafb438.webp	3
019 NA_ESHOPU	019	NA_ESHOPU	2	019\KVETY-179.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\13e74966-542a-44a9-8fbb-e95865ec572b.webp	3
020 NA_ESHOPU	020	NA_ESHOPU	5	020\kvety-4.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\9fa005b4-ff3d-48ac-a516-f1b35a0193b2.webp	3
021 NA_ESHOPU	021	NA_ESHOPU	7	021\KVETY-202.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\0891c8ee-dd76-468a-b43f-a9400f73d8fc.webp	3
022 NA_ESHOPU	022	NA_ESHOPU	5	022\kvety-3.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\d1fe9311-bc22-4755-8835-7ba32a5ad7cd.webp	3
023 NA_ESHOPU	023	NA_ESHOPU	5	023\kvety-5.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\5b7e550a-c0fd-40c7-bb2b-92c525cbdb63.webp	3
024 NA_ESHOPU	024	NA_ESHOPU	8	024\kvety-54.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2e02c037-5a1a-45a0-82e9-89d44bfcc63f.webp	3
025 NA_ESHOPU	025	NA_ESHOPU	5	025\kvety-126.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\63da2e5a-b353-4f9e-a10f-fd0cfcbead02.webp	3
026 NA_ESHOPU	026	NA_ESHOPU	8	026\kvety-97.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\22c7e37a-9117-4275-be9d-b3c2fbf9d5b0.webp	3
027 NA_ESHOPU	027	NA_ESHOPU	4	027\kvety-118.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\86169b44-5f9d-4456-8fd7-8c378aba5f0e.webp	3
028 NA_ESHOPU	028	NA_ESHOPU	6	028\kvety-108.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\cdd8a161-a308-48c1-bb9e-08b2bd6b393a.webp	3
029 NA_ESHOPU	029	NA_ESHOPU	2	029\kvety-142.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\c8d55dbf-9999-48d0-bb33-8b82f695000a.webp	3
030 NA_ESHOPU	030	NA_ESHOPU	4	030\kvety-193.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\7d5b0524-61d7-4888-a1bc-5cde8e5e4cc2.webp	3
031 NA_ESHOPU	031	NA_ESHOPU	3	031\kvety-197.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\c6f84c76-9c85-4fdd-8164-aa331609d252.webp	3
032 NA_ESHOPU	032	NA_ESHOPU	4	032\kvety-134.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\3e48c4b6-d38c-412f-bc08-e77cee0b700c.webp	3
033 NA_ESHOPU	033	NA_ESHOPU	4	033\kvety-137.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\7a7099a5-aa6f-46d2-a4b9-604b1266059e.webp	3
034 NA_ESHOPU	034	NA_ESHOPU	4	034\kvety-145.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\243c5490-d069-4e74-a210-301620c55149.webp	3
035 NA_ESHOPU	035	NA_ESHOPU	2	035\kvety-174.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\53f2508b-7bfa-4620-878f-02b700439880.webp	3
036 NA_ESHOPU	036	NA_ESHOPU	5	036\kvety-157.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\5bedcd63-48ff-4603-aa6b-a9093b78d813.webp	3
037 NA_ESHOPU	037	NA_ESHOPU	6	037\kvety-147.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\395d8a78-6375-42d8-8a99-e69125a92d6b.webp	3
038 NA_ESHOPU	038	NA_ESHOPU	7	038\kvety-79.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\5a57a215-82df-4222-b4b6-1de487e8d4e1.webp	3
039 NA_ESHOPU	039	NA_ESHOPU	6	039\kvety-239.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\684ce16b-aaf2-479d-b6bd-5e0fcbd6992a.webp	3
040 NA_ESHOPU	040	NA_ESHOPU	2	040\kvety-238.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\bb563e91-31fa-4755-bcd7-6f08084aeef7.webp	3
041 NA_ESHOPU	041	NA_ESHOPU	5	041\kvety-256.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2f0065cb-f198-44ca-a831-066ad385222e.webp	3
042 NA_ESHOPU	042	NA_ESHOPU	4	042\kvety-234.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\675aefb5-ae0a-4f3a-a411-63dd01114ba1.webp	3
043 NA_ESHOPU	043	NA_ESHOPU	4	043\kvety-191.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\81c7c949-41da-4a7f-b896-99275f8a8de4.webp	3
044 NA_ESHOPU	044	NA_ESHOPU	3	044\kvety-253.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\d84ea999-d4cc-4af4-9db1-8dbe00cdde78.webp	3
045 NA_ESHOPU	045	NA_ESHOPU	3	045\kvety-287.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\1b138d49-e3df-4f70-b983-e5b0d9a55e2c.webp	3
046 NA_ESHOPU	046	NA_ESHOPU	5	046\kvety-88.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\7dc019e9-4d74-438a-b146-7e0db711b953.webp	3
047 NA_ESHOPU	047	NA_ESHOPU	1	047\kvety-214.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\8553b5ed-fb70-4120-bd18-4a0b409eaad5.webp	3
048 NA_ESHOPU	048	NA_ESHOPU	6	048\kvety-250.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\75e5bb98-eb54-4512-b876-05ad77bb761f.webp	3
049 NA_ESHOPU	049	NA_ESHOPU	2	049\kvety-4.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\3e0458a6-905c-4439-b153-46f5e659dd9f.webp	3
050 NA_ESHOPU	050	NA_ESHOPU	9	050\kvety-18.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\3315078f-c916-4851-9b37-e9389efa480c.webp	3
051 NA_ESHOPU	051	NA_ESHOPU	4	051\kvety-24.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\6304c08e-a553-4706-9b1f-8d7c0277421c.webp	3
052 NA_ESHOPU	052	NA_ESHOPU	4	052\kvety-2.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\5504ef22-0a12-4dfc-9967-42675a6aadaf.webp	3
053 NA_ESHOPU	053	NA_ESHOPU	1	053\kvety-10.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\cb52ddc5-b02b-4930-9a45-4876456ef4f6.webp	3
054 NA_ESHOPU	054	NA_ESHOPU	2	054\kvety-230.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\7ce5517e-76e8-43ab-a972-b5ec9059495c.webp	3
055 NA_ESHOPU	055	NA_ESHOPU	1	055\kvety-213.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\4358aa77-44e9-42d9-b10d-83991486a54c.webp	3
056 NA_ESHOPU	056	NA_ESHOPU	3	056\kvety-4.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\bbd2a2f1-175d-4fcf-897b-e2647c8ac99f.webp	3
057 NA_ESHOPU	057	NA_ESHOPU	1	057\kvety-138.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\c412539d-4920-4f95-a3d5-721f57a9ed35.webp	3
058 NA_ESHOPU	058	NA_ESHOPU	3	058\kvety-135.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\a939c592-9113-4d0d-b05b-b0a0f4ebcb7f.webp	3
059 NA_ESHOPU	059	NA_ESHOPU	5	059\kvety-58.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\bcdd3741-0d43-4694-aeb0-f2b55e33ce98.webp	3
060 NA_ESHOPU	060	NA_ESHOPU	6	060\kvety-61.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\a87e8478-dbf1-4a83-aec2-124f5705c784.webp	3
061 NA_ESHOPU	061	NA_ESHOPU	2	061\KVETY-78.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\208eaf4e-9884-470e-b994-ce01922bcf0f.webp	3
062 NA_ESHOPU	062	NA_ESHOPU	6	062\KVETY2 (1).jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\4358aa77-44e9-42d9-b10d-83991486a54c.webp	3
063 NA_ESHOPU	063	NA_ESHOPU	9	063\kvety-59.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\ccc57042-ae59-4210-bded-e808e83e0fe8.webp	3
064 NA_ESHOPU	064	NA_ESHOPU	3	064\kvety-225.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\9471412d-7397-4d8c-ada8-71ffd896aa07.webp	3
065 NA_ESHOPU	065	NA_ESHOPU	2	065\kvety-50.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\be94b0d6-7354-44ac-9f0c-37c718dfa2dc.webp	13
066 NA_ESHOPU	066	NA_ESHOPU	1	066\kvety-120.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\1a7bdedd-6147-4a17-9d23-03b8ecf7f456.webp	20
