section	folder	orig	status	confidence	local_images	matched_local_images	product_id	product_name	product_sku	strong_hits	ok_hits	weak_hits	avg_dhash64	reason
normal	001 1 NA_ESHOPU	1	NA_ESHOPU	high	3	3	38e3b4a1-eee7-45a3-b0e1-1b7de8bf803a	Voskovka fialová	PD-N4B8Q2KQ	1	0	0	3	Produkt 38e3b4a1-eee7-45a3-b0e1-1b7de8bf803a: 1 silných + 0 dobrých shod (prům. dHash 3.0).
normal	002 6 NA_ESHOPU	6	NA_ESHOPU	high	13	11	2f296345-3209-48e4-8423-3bf27ffd12f1	Hortenzia - stonok	PD-MHY4YWPN	6	1	4	5.64	Produkt 2f296345-3209-48e4-8423-3bf27ffd12f1: 6 silných + 1 dobrých shod (prům. dHash 5.6).
normal	003 10 NENI_NA_ESHOPU	10	NENI_NA_ESHOPU	low	3	1				0	0	0		Žádná spolehlivá shoda s e-shopem.
normal	004 11 NA_ESHOPU	11	NA_ESHOPU	medium	20	12	2040562c-4992-451f-a122-cea15d08e7f7	Orchidea (mini spray)	PD-HMKSMX73	1	3	0	5.75	Pravděpodobná shoda s produktem 2040562c-4992-451f-a122-cea15d08e7f7 (4 fotek, prům. dHash 5.8).
normal	005 13 NEJISTE	13	NEJISTE	low	3	3	e9873f34-79b9-4410-922d-f7dd72d300f7	Jazmínový spray biely	PD-W46KRFGE	0	0	1	9	Slabá / nejednoznačná shoda s e9873f34-79b9-4410-922d-f7dd72d300f7.
normal	006 18 NA_ESHOPU	18	NA_ESHOPU	high	3	3	aaca085b-bf16-435e-826c-3f8771e379c0	Listový konár (lesklý)	PD-FMC87JPW	2	0	0	5.5	Produkt aaca085b-bf16-435e-826c-3f8771e379c0: 2 silných + 0 dobrých shod (prům. dHash 5.5).
normal	007 19 NA_ESHOPU	19	NA_ESHOPU	high	3	3	c3fe5a45-04f1-429a-a57a-35fa4d248199	Zeleň so zúbkovanými listami	PD-9GTYX3Q9	2	0	0	2	Produkt c3fe5a45-04f1-429a-a57a-35fa4d248199: 2 silných + 0 dobrých shod (prům. dHash 2.0).
normal	008 20 NA_ESHOPU	20	NA_ESHOPU	medium	3	3	96eb70a6-8a4c-455b-9fa7-f1e8aa4b44e7	Ginkgo žlté	PD-YUKLY5QF	1	0	0	5	Pravděpodobná shoda s produktem 96eb70a6-8a4c-455b-9fa7-f1e8aa4b44e7 (1 fotek, prům. dHash 5.0).
normal	009 21 NA_ESHOPU	21	NA_ESHOPU	high	3	3	f69d556e-c466-4998-9356-7150e598d96f	Brečtan pestrobarevný	PD-FVFUYQ6F	2	0	0	6	Produkt f69d556e-c466-4998-9356-7150e598d96f: 2 silných + 0 dobrých shod (prům. dHash 6.0).
normal	010 22 NA_ESHOPU	22	NA_ESHOPU	high	3	3	fc1a18ed-8d64-4427-ab21-ff82e8e15591	Zeleň - listová vetva	PD-T8GWZTQ2	3	0	0	4.67	Produkt fc1a18ed-8d64-4427-ab21-ff82e8e15591: 3 silných + 0 dobrých shod (prům. dHash 4.7).
normal	011 40 NA_ESHOPU	40	NA_ESHOPU	medium	3	3	a6194531-a460-4e10-802b-08adb976027f	Ruža červená - zväzok	PD-MWDXSGMY	1	0	0	5	Pravděpodobná shoda s produktem a6194531-a460-4e10-802b-08adb976027f (1 fotek, prům. dHash 5.0).
normal	012 44 NA_ESHOPU	44	NA_ESHOPU	medium	3	3	0ef3d821-edd9-42ff-a132-94377ebd4720	Kytica pivoniek biela - púčiky	PD-2HULXW68	1	0	0	4	Pravděpodobná shoda s produktem 0ef3d821-edd9-42ff-a132-94377ebd4720 (1 fotek, prům. dHash 4.0).
normal	013 45 NA_ESHOPU	45	NA_ESHOPU	high	6	2	908fced5-94c0-4533-8ee5-cb7083a4a135	Kytica červených ruží s drobnými kvetmi	PD-YJ7ZPJWC	2	0	0	4	Produkt 908fced5-94c0-4533-8ee5-cb7083a4a135: 2 silných + 0 dobrých shod (prům. dHash 4.0).
normal	014 50 NA_ESHOPU	50	NA_ESHOPU	high	7	6	8aafbf42-bd3d-4f4f-997a-61c33135e892	Georgína špicatá - zväzok	PD-SJVV4WK2	3	2	1	5	Produkt 8aafbf42-bd3d-4f4f-997a-61c33135e892: 3 silných + 2 dobrých shod (prům. dHash 5.0).
normal	015 52 NA_ESHOPU	52	NA_ESHOPU	high	18	14	51b06184-2e01-4a80-ae2b-595dee2f323d	Georgína mini - viacfarby	PD-ZYY8G328	4	7	2	6.08	Produkt 51b06184-2e01-4a80-ae2b-595dee2f323d: 4 silných + 7 dobrých shod (prům. dHash 6.1).
normal	016 54 NA_ESHOPU	54	NA_ESHOPU	high	7	7	3c5d095e-76bc-43ce-8266-3673e24555cc	Krásnoočko - cosmos	PD-SMANY4CM	3	2	2	6.29	Produkt 3c5d095e-76bc-43ce-8266-3673e24555cc: 3 silných + 2 dobrých shod (prům. dHash 6.3).
normal	017 77DOKONČIŤ!! NA_ESHOPU	77DOKONČIŤ!!	NA_ESHOPU	high	6	5	7ae15a07-8522-43af-902a-afe8777fc152	Eukalyptus ružový	PD-4Q5ZSRS3	3	0	0	3.33	Produkt 7ae15a07-8522-43af-902a-afe8777fc152: 3 silných + 0 dobrých shod (prům. dHash 3.3).
normal	018 B1__1004CR NEJISTE	B1__1004CR	NEJISTE	low	3	2	35b8aa3d-6338-4daf-ab0a-596339655420	Hortenzia krémová	PD-ZM9T7G26	0	1	1	7	Slabá / nejednoznačná shoda s 35b8aa3d-6338-4daf-ab0a-596339655420.
normal	019 B1__4123 NA_ESHOPU	B1__4123	NA_ESHOPU	high	7	5	b2bc3e1c-9c80-4877-96ae-9c9ac3ec3e72	Drobný filler - hviezdicové kvietky	PD-MXW7YA3V	2	2	1	5.6	Produkt b2bc3e1c-9c80-4877-96ae-9c9ac3ec3e72: 2 silných + 2 dobrých shod (prům. dHash 5.6).
normal	020 B1__MAGNOLIA ZVAZOK NA_ESHOPU	B1__MAGNOLIA ZVAZOK	NA_ESHOPU	medium	3	3	c5472c0d-c99e-4442-994b-d8c0aaf5bca0	Magnólia - zväzok bielo-ružový	PD-972HX445	1	2	0	5.67	Pravděpodobná shoda s produktem c5472c0d-c99e-4442-994b-d8c0aaf5bca0 (3 fotek, prům. dHash 5.7).
normal	021 B2__260PI NA_ESHOPU	B2__260PI	NA_ESHOPU	high	10	5	20da8252-5f59-4c8e-b624-c518485e7e5d	Orchidea Cymbidium	PD-R5W5EN8D	2	2	1	5.4	Produkt 20da8252-5f59-4c8e-b624-c518485e7e5d: 2 silných + 2 dobrých shod (prům. dHash 5.4).
normal	022 B2__2010 NA_ESHOPU	B2__2010	NA_ESHOPU	high	3	2	ccfd17df-ac41-4f09-844c-ff79aad7e462	Fiala žltá	PD-X3ZLNLMN	2	0	0	5	Produkt ccfd17df-ac41-4f09-844c-ff79aad7e462: 2 silných + 0 dobrých shod (prům. dHash 5.0).
normal	023 B2__29459YL NA_ESHOPU	B2__29459YL	NA_ESHOPU	high	3	3	15b1ab45-1db9-4083-bb61-fe1f146cfff5	Žltá kvitnúca halúzka	PD-34HYHH9W	2	0	1	6.33	Produkt 15b1ab45-1db9-4083-bb61-fe1f146cfff5: 2 silných + 0 dobrých shod (prům. dHash 6.3).
normal	024 B2__P107 NA_ESHOPU	B2__P107	NA_ESHOPU	high	7	6	b3094828-f16b-4dfe-a41f-efe1e1f5db14	Halúzka s púčikmi	PD-DZEKAD7G	4	0	2	6.17	Produkt b3094828-f16b-4dfe-a41f-efe1e1f5db14: 4 silných + 0 dobrých shod (prům. dHash 6.2).
normal	025 B3__34505_01 NENI_NA_ESHOPU	B3__34505_01	NENI_NA_ESHOPU	low	3	0				0	0	0		Žádná spolehlivá shoda s e-shopem.
normal	026 B3__BUK013 NA_ESHOPU	B3__BUK013	NA_ESHOPU	high	3	2	c338c6bb-c249-4278-b5bd-444cb4b97933	Kytica bielo-zelená	PD-ZHFBJGDT	2	0	0	6	Produkt c338c6bb-c249-4278-b5bd-444cb4b97933: 2 silných + 0 dobrých shod (prům. dHash 6.0).
normal	027 B3__BUK1013 NA_ESHOPU	B3__BUK1013	NA_ESHOPU	high	7	5	0ca2a0e7-ea3b-44bf-8a84-272a81843bab	Miešaná kytica - guľovité kvety a eukalyptus	PD-UDL5VK99	2	1	2	7.2	Produkt 0ca2a0e7-ea3b-44bf-8a84-272a81843bab: 2 silných + 1 dobrých shod (prům. dHash 7.2).
normal	028 B3__BUK1017 NA_ESHOPU	B3__BUK1017	NA_ESHOPU	high	3	3	4ad1fc92-d396-464f-ad7f-f395a9e9539d	Drobné biele kvietky - zväzok	PD-G6SWWGPL	2	0	1	5.33	Produkt 4ad1fc92-d396-464f-ad7f-f395a9e9539d: 2 silných + 0 dobrých shod (prům. dHash 5.3).
normal	029 B3__CAN2906 NA_ESHOPU	B3__CAN2906	NA_ESHOPU	medium	3	3	5e150134-1392-4ecd-b4c1-b93f32a63f0e	Voskovka krémová	PD-W3SBVZZP	1	2	0	6.33	Pravděpodobná shoda s produktem 5e150134-1392-4ecd-b4c1-b93f32a63f0e (3 fotek, prům. dHash 6.3).
