1	Echinacea na stopke	Dekoratívny echinacea na stopke vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
2	Artičoka na stopke	Dekoratívny artičoka na stopke vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
3	Proso dekoratívne	Dekoratívny produkt (proso dekoratívne). Hodí sa do vázy, vencov alebo stolových kompozícií.
4	Kytica klinčekov	Umelá kytica pripravená do vázy. Hodí sa ako hotová stolová dekorácia.
5	Kytica dálie	Umelá kytica pripravená do vázy. Hodí sa ako hotová stolová dekorácia.
6	Umelý hyacint	Dekoratívny umelý hyacint vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
7	Umelý iskerník	Dekoratívny umelý iskerník vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
8	Umelá artičoka	Dekoratívny umelá artičoka vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
9	Umelá alstroméria	Dekoratívny umelá alstroméria vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
10	Umelá fiala	Dekoratívny umelá fiala vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
11	Hlava ruže	Dekoratívna hlava ruže určená na výrobu vencov a aranžmánov. Komponent bez stonky.
12	Plná hlava klinčeka	Dekoratívny produkt (plná hlava klinčeka). Hodí sa do vázy, vencov alebo stolových kompozícií.
13	Hlava ruže so zvlnenými okrajmi	Dekoratívna hlava ruže so zvlnenými okrajmi. Hodí sa na výrobu vencov a floristických aranžmánov.
14	Hlava ruže so zvlnenými okrajmi	Dekoratívna hlava ruže so zvlnenými okrajmi. Hodí sa na výrobu vencov a floristických aranžmánov.
15	Hlava iskerníka	Dekoratívna hlava iskerníka určená na výrobu vencov a aranžmánov. Komponent bez stonky.
17	Hlava hortenzie s hustým riaseným trsom	Hlava hortenzie s hustým riaseným trsom do floristických aranžmánov. Hodí sa do vencov, väzieb a stolových dekorácií.
18	Hlava hortenzie s hustým riaseným trsom	Hlava hortenzie s hustým riaseným trsom do floristických aranžmánov. Hodí sa do vencov, väzieb a stolových dekorácií.
19	Hlava pivónie s hustými lupienkami	Dekoratívna hlava pivónie s hustými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
20	Hlava pomponu	Dekoratívna hlava pomponu určená na výrobu vencov a aranžmánov. Komponent bez stonky.
21	Hlava ruže s pravidelným závitom	Dekoratívna hlava ruže s pravidelným závitom. Hodí sa na výrobu vencov a floristických aranžmánov.
22	Hlava ľalie s úzkymi vlnitými lupienkami	Dekoratívna hlava ľalie s úzkymi vlnitými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
23	Hlava dálie s úzkymi špicatými lupienkami	Dekoratívna hlava dálie s úzkymi špicatými lupienkami. Hodí sa do vencov a floristických aranžmánov.
24	Hlava ruže	Dekoratívna hlava ruže určená na výrobu vencov a aranžmánov. Komponent bez stonky.
